text,basic_relationship,subtype_label
"  They do to,  She okay,  Wow,  No,  The real you,  Thank God  If I had to hear one more story about your coiffure,  What crap,  No,  You always been this selfish,  Then thats all you had to say,  You never wanted to go out with me did you,  I looked for you back at the party but you always seemed to be occupied,  I believe we share an art instructor,  Looks like things worked out tonight huh,  So thats the kind of guy she likes Pretty ones,  Im workin on it But she doesnt seem to be goin for him,  Sure have,  How do you get your hair to look like that,  You have my word  As a gentleman,  You got something on your mind,  Well theres someone I think might be ,  Thats because its such a nice one,  Right  See  Youre ready for the quiz,  Let me see what I can do,  Thats a shame,  Seems like she could get a date easy enough,  Cameron,  Forget it,  Okay then how bout we try out some French cuisine  Saturday  Night,  Well I thought wed start with pronunciation if thats okay with you",friend,Superficial Acquaintance
"  I dont have to be home til two,  All I know is  Id give up my private line to go out with a guy like Joey,  Bianca I dont think the highlights of dating Joey Dorsey are going to include dooropening and coatholding,  Is he oily or dry,  Great,  Who,  No",friend,Superficial Acquaintance
"  Youre concentrating awfully hard considering its gym class,  My agent says Ive got a good shot at being the Prada guy next year,  Its a gay cruise line but Ill be like wearing a uniform and stuff,  So yeah Ive got the Sears catalog thing going  and the tube sock gig  thats gonna be huge  And then Im up for an ad for Queen Harry next week,  Exactly  So you going to Bogey Lowenbraus thing on Saturday",pleasant,Mentoring
"  Perm,  Its just you,  What To completely damage me  To send me to therapy forever What,  You set me up,  So did you,  Not all experiences are good Bianca You cant always trust the people you want to,  I guess I thought I was protecting you,  Thats not,  I wanted to let you make up your own mind about him,  After that I swore Id never do anything just because everyone else was doing it  And I havent since Except for Bogeys party and my stunning gastrointestinal display ,  Just once  Afterwards I told him I didnt want to anymore  I wasnt ready He got pissed  Then he broke up with me,  He said everyone was doing it  So I did it,  Now I do  Back then was a different story,  He was like a total babe,  In 9th  For a month,  Joey never told you we went out did he,  I do care But Im a firm believer in doing something for your own reasons not someone else  s ,  Youre welcome,  Can we go now,  Its Shakespeare  Maybe youve heard of him,  At least Im not a clouted fen sucked hedgepig,  Whats normal,  What do you think,  It means that Gigglepuss is playing at Club Skunk and were going,  I have the potential to smack the crap out of you if you dont get out of my way,  Whereve you been",family,Consanguine
"  I have a date Daddy  And he  s not a captain of oppression like some men we know,  Fine  I see that Im a prisoner in my own house  Im not a daughter Im a possession,  Hes not a hot rod  Whatever that is,  No but,  Daddy I want to discuss the prom with you Its tomorrow night ,  Why,  Daddy no,  Its just a party Daddy,  Its just a party Daddy but I knew youd forbid me to go since Gloria Steinem over there isnt going ,  If you must know we were attempting to go to a small study group of friends,  Daddy I ,  But its not fair  shes a mutant Daddy,  What if she never starts dating",family,Consanguine
  No Youre not dating until your sister starts dating  End of discussion,pleasant,Mentoring
"  Never,  Didnt have you pegged for a Gigglepuss fan  Arent they a little too preteen bellybutton ring for you",friend,Close Acquaintance
"  Best case scenario youre back on the payroll for awhile,  Buttholus extremus  But hey youre making progress,  Extremely unfortunate maneuver,  You told me that part already,  Assail your ears for one night,  Dead at fortyone,  Its a lung cancer issue,  Are you kidding  Hell piss himself with joy  Hes the ultimate kiss ass,  In that case well need to make it a schoolwide blow out,  Like we had a choice  Besides  when you let the enemy think hes orchestrating the battle youre in a position of power We let him pretend hes calling the shots and while hes busy setting up the plan you have time to woo Bianca,  Hey  Ive gotta have a few clients when I get to Wall Street,  You know if you do go out with Bianca youd be set  Youd outrank everyone Strictly Alist  With me by your side,  Did she actually say shed go out with you,  Im serious man hes whacked  He sold his own liver on the black market so he could buy new speakers,  No kidding  Hes a criminal  I heard he lit a state trooper on fire  He just got out of Alcatraz,  You wanna go out with him,  Unlikely but even so she still cant go out with you  So whats the point,  The mewling rampalian wretch herself,  You could consecrate with her my friend,  Guess who just signed up for a tutor,  Joey Dorsey  Permashitgrin  I wish I could say hes a moron but hes number twelve in the class  And a model  Mostly regional stuff but hes rumored to have a big tube sock ad coming out,  Because theyre bred to  Their mothers liked guys like that and their grandmothers before them Their gene pool is rarely diluted,  I could start with your haircut but it doesnt matter  Shes not allowed to date until her older sister does  And thats an impossibility,  Bianca Stratford  Sophomore Dont even think about it,  You burn you pine you perish,  Yeah but these guys have never seen a horse  They just jack off to Clint Eastwood,  Couple thousand Most of them evil,  Get out,  How many people were in your old school,  I was kidding People actually live there,  Cmon  Im supposed to give you the tour,  You the new guy",friend,Superficial Acquaintance
"  You get the girl,  She kissed me,  She hates you with the fire of a thousand suns   Thats a direct quote,  Whatd you do to her,  Sure,  Shes partial to Joey not me,  Its off The whole thing,  Gigglepuss is playing there tomorrow night,  Ive retrieved certain pieces of information on Miss Katarina Stratford I think youll find helpful",friend,Superficial Acquaintance
"  Enough with the Barbie n Ken shit I know,  Get her to act like a human,  A deals a deal,  Forget it,  What,  Watching the bitch trash my car doesnt count as a date,  When I shell out fifty I expect results,  Fine thirty,  I cant date her sister until that one gets a boyfriend  And thats the catch She doesnt want a boyfriend,  But youd go out with her if you had the cake,  You just said,  Yeah whatever  I want you to go out with her,  What do you think",friend,Superficial Acquaintance
